Sample,Time_s,Value
373,37.2,0.000278128
374,37.300000000000004,0.000138191
375,37.4,0.000531062
376,37.5,9.4183e-05
377,37.6,0.000114295
378,37.7,0.000386757
379,37.800000000000004,0.000275896
380,37.9,0.000135929
381,38.0,0.000332638
382,38.1,0.000271385
383,38.2,0.000195312
384,38.300000000000004,0.000553069
385,38.400000000000006,0.000245476
386,38.5,0.000289656
387,38.6,0.000312845
388,38.7,0.000546398
389,38.800000000000004,0.000359261
390,38.900000000000006,0.000219943
391,39.0,0.000247231
392,39.1,0.000230365
393,39.2,0.000456022
394,39.300000000000004,0.000555502
395,39.400000000000006,0.000285758
396,39.5,0.000158262
397,39.6,0.000257623
398,39.7,0.000445729
399,39.800000000000004,0.000214852
400,39.900000000000006,0.000183043
401,40.0,0.000275184
402,40.1,0.000460241
403,40.2,0.000149372
404,40.300000000000004,0.000438477
405,40.400000000000006,0.000348292
406,40.5,0.00034155
407,40.6,0.000459211
408,40.7,0.0002722
409,40.800000000000004,0.000234349
410,40.900000000000006,0.00021153
411,41.0,0.000473603
412,41.1,0.000424812
413,41.2,0.000190851
414,41.300000000000004,0.000196007
415,41.400000000000006,0.000149438
416,41.5,0.000426505
417,41.6,0.000450433
418,41.7,0.000383301
419,41.800000000000004,0.000166468
420,41.900000000000006,0.000321026
421,42.0,0.000599486
422,42.1,0.000353032
423,42.2,0.000585718
424,42.300000000000004,0.000447942
425,42.400000000000006,0.000315995
426,42.5,0.000335342
427,42.6,0.000559809
428,42.7,0.000236341
429,42.800000000000004,0.00018833
430,42.900000000000006,0.000524456
431,43.0,0.000276713
432,43.1,0.000208909
433,43.2,0.00014817
434,43.300000000000004,0.000236292
435,43.400000000000006,0.00020493
436,43.5,0.000298136
437,43.6,0.000282308
438,43.7,0.000201978
439,43.800000000000004,0.000416092
440,43.900000000000006,0.00023872
441,44.0,0.000294752
442,44.1,0.000395744
443,44.2,0.000397818
444,44.300000000000004,0.000206369
445,44.400000000000006,0.000481234
446,44.5,0.000403127
447,44.6,0.000303355
448,44.7,0.000148059
449,44.800000000000004,0.000434086
450,44.900000000000006,0.000687956
451,45.0,0.000144173
452,45.1,0.00029171
453,45.2,0.000263716
454,45.300000000000004,0.000100219
455,45.400000000000006,0.000484711
456,45.5,9.79602e-05
457,45.6,0.000357593
458,45.7,0.00047254
459,45.800000000000004,0.000250938
460,45.900000000000006,0.00016504
461,46.0,0.000303323
462,46.1,0.000122392
463,46.2,0.000304606
464,46.300000000000004,0.000405825
465,46.400000000000006,0.000207712
466,46.5,0.000437929
467,46.6,0.000374733
468,46.7,0.000161094
469,46.800000000000004,0.000463637
470,46.900000000000006,0.000527776
471,47.0,0.000483733
472,47.1,0.000404861
473,47.2,0.000118078
